"Phytophthora","Host","L4.name","L3.name","L2.name","L1.name","Scotland"
"P. alni","alnus","Great Britain","Great Britain","Northern Europe","Europe",3
"P. austrocedri","callitropsis","Great Britain","Great Britain","Northern Europe","Europe",1
"P. austrocedri","chaenomeles","Great Britain","Great Britain","Northern Europe","Europe",1
"P. austrocedri","chamaecyparis","Great Britain","Great Britain","Northern Europe","Europe",4
"P. austrocedri","cupressus","Great Britain","Great Britain","Northern Europe","Europe",1
"P. austrocedri","fagus","Great Britain","Great Britain","Northern Europe","Europe",1
"P. austrocedri","hesperotropsis","Great Britain","Great Britain","Northern Europe","Europe",2
"P. austrocedri","juniperus","Great Britain","Great Britain","Northern Europe","Europe",331
"P. cinnamomi","aucuba","Great Britain","Great Britain","Northern Europe","Europe",1
"P. cinnamomi","calluna","Great Britain","Great Britain","Northern Europe","Europe",5
"P. cinnamomi","castanea","Great Britain","Great Britain","Northern Europe","Europe",1
"P. cinnamomi","chamaecyparis","Great Britain","Great Britain","Northern Europe","Europe",3
"P. cinnamomi","erica","Great Britain","Great Britain","Northern Europe","Europe",2
"P. cinnamomi","fagus","Great Britain","Great Britain","Northern Europe","Europe",1
"P. cinnamomi","fragaria","Great Britain","Great Britain","Northern Europe","Europe",1
"P. cinnamomi","gerbera","Great Britain","Great Britain","Northern Europe","Europe",1
"P. cinnamomi","ilex","Great Britain","Great Britain","Northern Europe","Europe",1
"P. cinnamomi","juniperus","Great Britain","Great Britain","Northern Europe","Europe",1
"P. cinnamomi","kalmia","Great Britain","Great Britain","Northern Europe","Europe",2
"P. cinnamomi","laurus","Great Britain","Great Britain","Northern Europe","Europe",2
"P. cinnamomi","osmanthus","Great Britain","Great Britain","Northern Europe","Europe",1
"P. cinnamomi","pericallis","Great Britain","Great Britain","Northern Europe","Europe",1
"P. cinnamomi","physocarpus","Great Britain","Great Britain","Northern Europe","Europe",1
"P. cinnamomi","pieris","Great Britain","Great Britain","Northern Europe","Europe",1
"P. cinnamomi","pinus","Great Britain","Great Britain","Northern Europe","Europe",1
"P. cinnamomi","prunus","Great Britain","Great Britain","Northern Europe","Europe",1
"P. cinnamomi","rhododendron","Great Britain","Great Britain","Northern Europe","Europe",3
"P. cinnamomi","sequoiadendron","Great Britain","Great Britain","Northern Europe","Europe",1
"P. cinnamomi","tasmannia","Great Britain","Great Britain","Northern Europe","Europe",1
"P. cinnamomi","taxus","Great Britain","Great Britain","Northern Europe","Europe",4
"P. cinnamomi","tsuga","Great Britain","Great Britain","Northern Europe","Europe",2
"P. cinnamomi","vaccinium","Great Britain","Great Britain","Northern Europe","Europe",1
"P. kernoviae","fagus","Great Britain","Great Britain","Northern Europe","Europe",1
"P. kernoviae","magnolia","Great Britain","Great Britain","Northern Europe","Europe",1
"P. kernoviae","pieris","Great Britain","Great Britain","Northern Europe","Europe",1
"P. kernoviae","rhododendron","Great Britain","Great Britain","Northern Europe","Europe",6
"P. pluvialis","pseudotsuga","Great Britain","Great Britain","Northern Europe","Europe",2
"P. pluvialis","tsuga","Great Britain","Great Britain","Northern Europe","Europe",28
"P. pseudosyringae","acer","Great Britain","Great Britain","Northern Europe","Europe",2
"P. pseudosyringae","betula","Great Britain","Great Britain","Northern Europe","Europe",1
"P. pseudosyringae","fagus","Great Britain","Great Britain","Northern Europe","Europe",6
"P. pseudosyringae","kalmia","Great Britain","Great Britain","Northern Europe","Europe",1
"P. pseudosyringae","larix","Great Britain","Great Britain","Northern Europe","Europe",3
"P. pseudosyringae","magnolia","Great Britain","Great Britain","Northern Europe","Europe",3
"P. pseudosyringae","nothofagus","Great Britain","Great Britain","Northern Europe","Europe",2
"P. pseudosyringae","pieris","Great Britain","Great Britain","Northern Europe","Europe",1
"P. pseudosyringae","quercus","Great Britain","Great Britain","Northern Europe","Europe",6
"P. pseudosyringae","rhododendron","Great Britain","Great Britain","Northern Europe","Europe",1
"P. ramorum","abies","Great Britain","Great Britain","Northern Europe","Europe",1
"P. ramorum","chamaecyparis","Great Britain","Great Britain","Northern Europe","Europe",2
"P. ramorum","fagus","Great Britain","Great Britain","Northern Europe","Europe",1
"P. ramorum","garrya","Great Britain","Great Britain","Northern Europe","Europe",1
"P. ramorum","kalmia","Great Britain","Great Britain","Northern Europe","Europe",7
"P. ramorum","larix","Great Britain","Great Britain","Northern Europe","Europe",3188
"P. ramorum","magnolia","Great Britain","Great Britain","Northern Europe","Europe",2
"P. ramorum","nothofagus","Great Britain","Great Britain","Northern Europe","Europe",1
"P. ramorum","osmanthus","Great Britain","Great Britain","Northern Europe","Europe",1
"P. ramorum","picea","Great Britain","Great Britain","Northern Europe","Europe",25
"P. ramorum","pieris","Great Britain","Great Britain","Northern Europe","Europe",11
"P. ramorum","rhododendron","Great Britain","Great Britain","Northern Europe","Europe",348
"P. ramorum","tsuga","Great Britain","Great Britain","Northern Europe","Europe",10
"P. ramorum","vaccinium","Great Britain","Great Britain","Northern Europe","Europe",2
"P. ramorum","viburnum","Great Britain","Great Britain","Northern Europe","Europe",15
