"Phytophthora","Host","L4.name","L3.name","L2.name","L1.name","uk_nation","Total"
"P. alni","alnus alnobetula","Great Britain","Great Britain","Northern Europe","Europe","Scotland",1
"P. alni","alnus glutinosa","Great Britain","Great Britain","Northern Europe","Europe","Scotland",2
"P. austrocedri","callitropsis nootkatensis","Great Britain","Great Britain","Northern Europe","Europe","Scotland",1
"P. austrocedri","chaenomeles × superba","Great Britain","Great Britain","Northern Europe","Europe","Scotland",1
"P. austrocedri","chamaecyparis lawsoniana","Great Britain","Great Britain","Northern Europe","Europe","Scotland",3
"P. austrocedri","fagus sylvatica","Great Britain","Great Britain","Northern Europe","Europe","Scotland",1
"P. austrocedri","juniperus chinensis","Great Britain","Great Britain","Northern Europe","Europe","Scotland",3
"P. austrocedri","juniperus communis","Great Britain","Great Britain","Northern Europe","Europe","Scotland",309
"P. austrocedri","juniperus horizontalis","Great Britain","Great Britain","Northern Europe","Europe","Scotland",4
"P. austrocedri","juniperus squamata","Great Britain","Great Britain","Northern Europe","Europe","Scotland",3
"P. austrocedri","× hesperotropsis leylandii","Great Britain","Great Britain","Northern Europe","Europe","Scotland",2
"P. cinnamomi","calluna vulgaris","Great Britain","Great Britain","Northern Europe","Europe","Scotland",2
"P. cinnamomi","castanea sativa","Great Britain","Great Britain","Northern Europe","Europe","Scotland",1
"P. cinnamomi","chamaecyparis lawsoniana","Great Britain","Great Britain","Northern Europe","Europe","Scotland",2
"P. cinnamomi","erica cinerea","Great Britain","Great Britain","Northern Europe","Europe","Scotland",2
"P. cinnamomi","fagus sylvatica","Great Britain","Great Britain","Northern Europe","Europe","Scotland",1
"P. cinnamomi","ilex aquifolium","Great Britain","Great Britain","Northern Europe","Europe","Scotland",1
"P. cinnamomi","juniperus squamata","Great Britain","Great Britain","Northern Europe","Europe","Scotland",1
"P. cinnamomi","laurus nobilis","Great Britain","Great Britain","Northern Europe","Europe","Scotland",2
"P. cinnamomi","pericallis cruenta","Great Britain","Great Britain","Northern Europe","Europe","Scotland",1
"P. cinnamomi","physocarpus opulifolius","Great Britain","Great Britain","Northern Europe","Europe","Scotland",1
"P. cinnamomi","pinus contorta","Great Britain","Great Britain","Northern Europe","Europe","Scotland",1
"P. cinnamomi","prunus lusitanica","Great Britain","Great Britain","Northern Europe","Europe","Scotland",1
"P. cinnamomi","rhododendron formosum","Great Britain","Great Britain","Northern Europe","Europe","Scotland",1
"P. cinnamomi","sequoiadendron giganteum","Great Britain","Great Britain","Northern Europe","Europe","Scotland",1
"P. cinnamomi","tasmannia lanceolata","Great Britain","Great Britain","Northern Europe","Europe","Scotland",1
"P. cinnamomi","taxus baccata","Great Britain","Great Britain","Northern Europe","Europe","Scotland",3
"P. cinnamomi","tsuga canadensis","Great Britain","Great Britain","Northern Europe","Europe","Scotland",1
"P. cinnamomi","tsuga heterophylla","Great Britain","Great Britain","Northern Europe","Europe","Scotland",1
"P. cinnamomi","vaccinium corymbosum","Great Britain","Great Britain","Northern Europe","Europe","Scotland",1
"P. kernoviae","fagus sylvatica","Great Britain","Great Britain","Northern Europe","Europe","Scotland",1
"P. pluvialis","pseudotsuga menziesii","Great Britain","Great Britain","Northern Europe","Europe","Scotland",2
"P. pluvialis","tsuga heterophylla","Great Britain","Great Britain","Northern Europe","Europe","Scotland",28
"P. pseudosyringae","betula pubescens","Great Britain","Great Britain","Northern Europe","Europe","Scotland",1
"P. pseudosyringae","fagus sylvatica","Great Britain","Great Britain","Northern Europe","Europe","Scotland",5
"P. pseudosyringae","magnolia salicifolia","Great Britain","Great Britain","Northern Europe","Europe","Scotland",2
"P. pseudosyringae","pieris floribunda","Great Britain","Great Britain","Northern Europe","Europe","Scotland",1
"P. ramorum","abies procera","Great Britain","Great Britain","Northern Europe","Europe","Scotland",1
"P. ramorum","chamaecyparis lawsoniana","Great Britain","Great Britain","Northern Europe","Europe","Scotland",2
"P. ramorum","fagus sylvatica","Great Britain","Great Britain","Northern Europe","Europe","Scotland",1
"P. ramorum","garrya elliptica","Great Britain","Great Britain","Northern Europe","Europe","Scotland",1
"P. ramorum","kalmia latifolia","Great Britain","Great Britain","Northern Europe","Europe","Scotland",1
"P. ramorum","larix kaempferi","Great Britain","Great Britain","Northern Europe","Europe","Scotland",3
"P. ramorum","magnolia stellata","Great Britain","Great Britain","Northern Europe","Europe","Scotland",1
"P. ramorum","picea sitchensis","Great Britain","Great Britain","Northern Europe","Europe","Scotland",25
"P. ramorum","pieris formosa","Great Britain","Great Britain","Northern Europe","Europe","Scotland",4
"P. ramorum","pieris japonica","Great Britain","Great Britain","Northern Europe","Europe","Scotland",2
"P. ramorum","rhododendron ponticum","Great Britain","Great Britain","Northern Europe","Europe","Scotland",2
"P. ramorum","tsuga heterophylla","Great Britain","Great Britain","Northern Europe","Europe","Scotland",10
"P. ramorum","vaccinium myrtillus","Great Britain","Great Britain","Northern Europe","Europe","Scotland",2
"P. ramorum","viburnum plicatum","Great Britain","Great Britain","Northern Europe","Europe","Scotland",3
"P. ramorum","viburnum tinus","Great Britain","Great Britain","Northern Europe","Europe","Scotland",3
"P. ramorum","viburnum × bodnantense","Great Britain","Great Britain","Northern Europe","Europe","Scotland",1
