"Phytophthora","Host","Total","Trade","widerEnvironment","Unknown"
"P. cinnamomi","Caprifoliaceae",5,NA,NA,5
"P. ramorum","Pinaceae",37,NA,17,20
"P. cinnamomi","Pinaceae",419,4,2,413
"P. pseudosyringae","Pinaceae",2,NA,NA,2
"P. cinnamomi","Fabaceae",157,NA,NA,157
"P. ramorum","Sapindaceae",9,NA,NA,9
"P. cinnamomi","Sapindaceae",13,NA,NA,13
"P. pseudosyringae","Sapindaceae",6,NA,2,4
"P. cinnamomi","Myrtaceae",483,2,1,480
"P. cinnamomi","Ericaceae",436,27,5,404
"P. cinnamomi","Actinidiaceae",21,NA,NA,21
"P. cinnamomi","Cupressaceae",149,10,4,135
"P. cinnamomi","Proteaceae",923,NA,NA,923
"P. ramorum","Pteridaceae",10,NA,NA,10
"P. cinnamomi","Araucariaceae",102,1,1,100
"P. cinnamomi","Rutaceae",63,NA,NA,63
"P. alni","Betulaceae",435,2,363,70
"P. cinnamomi","Euphorbiaceae",10,NA,NA,10
"P. cinnamomi","Amaryllidaceae",3,NA,NA,3
"P. cinnamomi","Casuarinaceae",49,NA,NA,49
"P. pseudosyringae","Betulaceae",14,NA,1,13
"P. cinnamomi","Betulaceae",23,NA,NA,23
"P. cinnamomi","Alstroemeriaceae",1,NA,NA,1
"P. cinnamomi","Bromeliaceae",179,NA,NA,179
"P. kernoviae","Annonaceae",22,NA,NA,22
"P. cinnamomi","Phyllanthaceae",4,NA,1,3
"P. ramorum","Rosaceae",22,1,2,19
"P. ramorum","Ericaceae",371,57,84,230
"P. pseudosyringae","Ericaceae",4,NA,NA,4
"P. cinnamomi","Elaeocarpaceae",17,NA,NA,17
"P. cinnamomi","Asteliaceae",4,NA,NA,4
"P. cinnamomi","Garryaceae",6,NA,NA,6
"P. austrocedri","Cupressaceae",38,NA,NA,38
"P. cinnamomi","Cunoniaceae",13,NA,NA,13
"P. pseudosyringae","Fagaceae",73,NA,5,68
"P. ramorum","Fagaceae",267,NA,143,124
"P. cinnamomi","Berberidopsidaceae",2,NA,NA,2
"P. cinnamomi","Berberidaceae",1,NA,NA,1
"P. ramorum","Berberidaceae",2,NA,NA,2
"P. cinnamomi","Bruniaceae",4,NA,NA,4
"P. cinnamomi","Asteraceae",36,NA,NA,36
"P. cinnamomi","Hydrangeaceae",2,NA,NA,2
"P. cinnamomi","Goodeniaceae",8,NA,NA,8
"P. cinnamomi","Buxaceae",7,NA,NA,7
"P. cinnamomi","Theaceae",42,NA,NA,42
"P. ramorum","Theaceae",27,4,NA,23
"P. pseudosyringae","Theaceae",1,NA,NA,1
"P. cinnamomi","Caricaceae",4,NA,NA,4
"P. cinnamomi","Rousseaceae",4,NA,NA,4
"P. cinnamomi","Juglandaceae",64,NA,2,62
"P. cinnamomi","Fagaceae",630,2,265,363
"P. cinnamomi","Rhamnaceae",9,NA,1,8
"P. cinnamomi","Asphodelaceae",67,NA,NA,67
"P. cinnamomi","Araliaceae",26,NA,NA,26
"P. ramorum","Rutaceae",2,1,NA,1
"P. cinnamomi","Cyatheaceae",9,NA,NA,9
"P. cinnamomi","Rubiaceae",49,NA,NA,49
"P. cinnamomi","Lauraceae",445,NA,5,440
"P. ramorum","Lauraceae",216,NA,185,31
"P. cinnamomi","Cistaceae",6,NA,2,4
"P. cinnamomi","Rosaceae",74,NA,NA,74
"P. cinnamomi","Polygonaceae",2,NA,NA,2
"P. cinnamomi","Lamiaceae",10,NA,NA,10
"P. cinnamomi","Araceae",6,NA,NA,6
"P. cinnamomi","Myricaceae",2,NA,NA,2
"P. cinnamomi","Haemodoraceae",4,NA,NA,4
"P. cinnamomi","Coriariaceae",4,NA,NA,4
"P. cinnamomi","Cornaceae",8,NA,NA,8
"P. ramorum","Cornaceae",1,NA,NA,1
"P. cinnamomi","Argophyllaceae",4,NA,NA,4
"P. ramorum","Betulaceae",2,NA,NA,2
"P. cinnamomi","Lecythidaceae",2,NA,NA,2
"P. cinnamomi","Crassulaceae",2,NA,NA,2
"P. cinnamomi","Cucurbitaceae",3,NA,NA,3
"P. cinnamomi","Zingiberaceae",1,NA,NA,1
"P. cinnamomi","Curtisiaceae",2,NA,NA,2
"P. cinnamomi","Primulaceae",11,NA,NA,11
"P. cinnamomi","Thymelaeaceae",17,NA,NA,17
"P. cinnamomi","Columelliaceae",2,NA,NA,2
"P. cinnamomi","Gleicheniaceae",3,NA,NA,3
"P. cinnamomi","Droseraceae",4,NA,NA,4
"P. cinnamomi","Ebenaceae",4,NA,2,2
"P. cinnamomi","Asparagaceae",5,NA,NA,5
"P. cinnamomi","Winteraceae",7,NA,NA,7
"P. kernoviae","Winteraceae",3,NA,1,2
"P. cinnamomi","Malvaceae",12,NA,NA,12
"P. cinnamomi","Gentianaceae",5,NA,NA,5
"P. kernoviae","Fagaceae",2,NA,NA,2
"P. cinnamomi","Moraceae",6,NA,NA,6
"P. cinnamomi","Oleaceae",11,NA,NA,11
"P. ramorum","Rhamnaceae",17,NA,1,16
