"Phytophthora","Host","Total","Trade","widerEnvironment","Unknown"
"P. cinnamomi","Abelia",4,NA,NA,4
"P. ramorum","Abies",12,NA,4,8
"P. cinnamomi","Abies",61,NA,NA,61
"P. pseudosyringae","Abies",2,NA,NA,2
"P. cinnamomi","Acacia",36,NA,NA,36
"P. ramorum","Acer",5,NA,NA,5
"P. cinnamomi","Acer",9,NA,NA,9
"P. pseudosyringae","Acer",2,NA,1,1
"P. cinnamomi","Syzygium",8,NA,NA,8
"P. cinnamomi","Acrotriche",3,NA,NA,3
"P. cinnamomi","Actinidia",21,NA,NA,21
"P. cinnamomi","Actinodium",2,NA,NA,2
"P. cinnamomi","Callitris",4,NA,NA,4
"P. cinnamomi","Adenanthos",6,NA,NA,6
"P. ramorum","Adiantum",10,NA,NA,10
"P. ramorum","Aesculus",4,NA,NA,4
"P. pseudosyringae","Aesculus",4,NA,1,3
"P. cinnamomi","Agathis",18,NA,NA,18
"P. cinnamomi","Agathosma",8,NA,NA,8
"P. cinnamomi","Agonis",6,NA,NA,6
"P. alni","Alnus",435,2,363,70
"P. cinnamomi","Vernicia",4,NA,NA,4
"P. cinnamomi","Allium",3,NA,NA,3
"P. cinnamomi","Allocasuarina",22,NA,NA,22
"P. pseudosyringae","Alnus",14,NA,1,13
"P. cinnamomi","Alnus",4,NA,NA,4
"P. cinnamomi","Alstroemeria",1,NA,NA,1
"P. cinnamomi","Amperea",3,NA,NA,3
"P. cinnamomi","Ananas",179,NA,NA,179
"P. cinnamomi","Andromeda",2,NA,NA,2
"P. kernoviae","Annona",22,NA,NA,22
"P. cinnamomi","Antidesma",2,NA,NA,2
"P. cinnamomi","Aotus",9,NA,NA,9
"P. ramorum","Malus",1,NA,1,NA
"P. cinnamomi","Araucaria",14,1,1,12
"P. cinnamomi","Arbutus",6,NA,NA,6
"P. ramorum","Arbutus",11,NA,NA,11
"P. pseudosyringae","Arctostaphylos",1,NA,NA,1
"P. cinnamomi","Arctostaphylos",8,NA,NA,8
"P. ramorum","Arctostaphylos",10,NA,NA,10
"P. cinnamomi","Aristotelia",4,NA,NA,4
"P. cinnamomi","Astelia",4,NA,NA,4
"P. cinnamomi","Aucuba",4,NA,NA,4
"P. cinnamomi","Aulax",6,NA,NA,6
"P. austrocedri","Austrocedrus",27,NA,NA,27
"P. cinnamomi","Kalmia",9,NA,NA,9
"P. cinnamomi","Banksia",205,NA,NA,205
"P. cinnamomi","Bauera",7,NA,NA,7
"P. cinnamomi","Melaleuca",29,NA,NA,29
"P. pseudosyringae","Fagus",28,NA,4,24
"P. ramorum","Fagus",9,NA,6,3
"P. cinnamomi","Berberidopsis",2,NA,NA,2
"P. cinnamomi","Berberis",1,NA,NA,1
"P. ramorum","Berberis",2,NA,NA,2
"P. cinnamomi","Berzelia",4,NA,NA,4
"P. cinnamomi","Betula",19,NA,NA,19
"P. cinnamomi","Boronia",26,NA,NA,26
"P. cinnamomi","Bossiaea",5,NA,NA,5
"P. cinnamomi","Brabejum",4,NA,NA,4
"P. cinnamomi","Urostemon",4,NA,NA,4
"P. cinnamomi","Hydrangea",2,NA,NA,2
"P. cinnamomi","Erica",42,NA,NA,42
"P. cinnamomi","Brunonia",2,NA,NA,2
"P. cinnamomi","Gompholobium",5,NA,NA,5
"P. cinnamomi","Buxus",7,NA,NA,7
"P. cinnamomi","Cajanus",2,NA,NA,2
"P. cinnamomi","Calluna",16,4,NA,12
"P. ramorum","Calluna",2,NA,NA,2
"P. cinnamomi","Calocedrus",6,NA,NA,6
"P. cinnamomi","Calytrix",7,NA,NA,7
"P. cinnamomi","Camelia",2,NA,NA,2
"P. ramorum","Camellia",27,4,NA,23
"P. cinnamomi","Camellia",40,NA,NA,40
"P. pseudosyringae","Camellia",1,NA,NA,1
"P. cinnamomi","Carica",4,NA,NA,4
"P. cinnamomi","Carpodetus",4,NA,NA,4
"P. cinnamomi","Carya",5,NA,NA,5
"P. cinnamomi","Cassinia",3,NA,NA,3
"P. cinnamomi","Cassiope",1,NA,NA,1
"P. cinnamomi","Castanea",230,NA,76,154
"P. pseudosyringae","Castanea",11,NA,NA,11
"P. ramorum","Castanea",5,NA,3,2
"P. cinnamomi","Castanopsis",18,NA,8,10
"P. cinnamomi","Lithocarpus",4,NA,3,1
"P. cinnamomi","Casuarina",25,NA,NA,25
"P. cinnamomi","Ceanothus",2,NA,NA,2
"P. cinnamomi","Cedrus",15,NA,NA,15
"P. cinnamomi","Centaurea",1,NA,NA,1
"P. cinnamomi","Cercis",2,NA,NA,2
"P. cinnamomi","Chamaecyparis",62,10,3,49
"P. cinnamomi","Chamaescilla",8,NA,NA,8
"P. cinnamomi","Chamelaucium",40,NA,NA,40
"P. cinnamomi","Cheirodendron",3,NA,NA,3
"P. ramorum","Choisya",2,1,NA,1
"P. cinnamomi","Chorizema",2,NA,NA,2
"P. cinnamomi","Chrysanthemum",1,NA,NA,1
"P. cinnamomi","Tanacetum",2,NA,NA,2
"P. ramorum","Chrysolepis",1,NA,NA,1
"P. cinnamomi","Cibotium",7,NA,NA,7
"P. cinnamomi","Cinchona",29,NA,NA,29
"P. cinnamomi","Cinnamomum",51,NA,1,50
"P. ramorum","Cinnamomum",2,NA,NA,2
"P. cinnamomi","Cistus",4,NA,2,2
"P. cinnamomi","Citrus",11,NA,NA,11
"P. cinnamomi","Cliffortia",6,NA,NA,6
"P. cinnamomi","Coccoloba",2,NA,NA,2
"P. cinnamomi","Coleus",1,NA,NA,1
"P. cinnamomi","Colocasia",4,NA,NA,4
"P. cinnamomi","Comptonia",2,NA,NA,2
"P. cinnamomi","Conostephium",2,NA,NA,2
"P. cinnamomi","Conostylis",2,NA,NA,2
"P. cinnamomi","Coprosma",11,NA,NA,11
"P. cinnamomi","Coriaria",4,NA,NA,4
"P. cinnamomi","Cornus",8,NA,NA,8
"P. ramorum","Cornus",1,NA,NA,1
"P. cinnamomi","Corokia",4,NA,NA,4
"P. cinnamomi","Correa",8,NA,NA,8
"P. ramorum","Corylus",2,NA,NA,2
"P. cinnamomi","Corymbia",54,NA,NA,54
"P. cinnamomi","Cotoneaster",3,NA,NA,3
"P. ramorum","Cotoneaster",1,NA,NA,1
