"Phytophthora","Host","Total","Trade","widerEnvironment","Unknown"
"P. cinnamomi","Abelia schumannii",2,NA,NA,2
"P. cinnamomi","Abies alba",7,NA,NA,7
"P. cinnamomi","Abies balsamea",6,NA,NA,6
"P. cinnamomi","Abies nordmanniana",14,NA,NA,14
"P. cinnamomi","Abies concolor",7,NA,NA,7
"P. cinnamomi","Abies fraseri",15,NA,NA,15
"P. pseudosyringae","Abies fraseri",2,NA,NA,2
"P. ramorum","Abies grandis",3,NA,NA,3
"P. ramorum","Abies magnifica",2,NA,NA,2
"P. cinnamomi","Abies pinsapo",3,NA,NA,3
"P. cinnamomi","Abies procera",4,NA,NA,4
"P. ramorum","Abies procera",5,NA,3,2
"P. cinnamomi","Abies sibirica",2,NA,NA,2
"P. cinnamomi","Acacia baileyana",4,NA,NA,4
"P. cinnamomi","Acacia dealbata",2,NA,NA,2
"P. cinnamomi","Acacia huegelii",3,NA,NA,3
"P. cinnamomi","Acacia koa",1,NA,NA,1
"P. cinnamomi","Acacia melanoxylon",2,NA,NA,2
"P. cinnamomi","Acacia myrtifolia",5,NA,NA,5
"P. cinnamomi","Acacia verticillata",7,NA,NA,7
"P. ramorum","Acer macrophyllum",4,NA,NA,4
"P. cinnamomi","Acer negundo",2,NA,NA,2
"P. cinnamomi","Acer palmatum",2,NA,NA,2
"P. pseudosyringae","Acer pseudoplatanus",2,NA,1,1
"P. cinnamomi","Acer rubrum",2,NA,NA,2
"P. cinnamomi","Acer saccharum",2,NA,NA,2
"P. cinnamomi","Syzygium smithii",4,NA,NA,4
"P. cinnamomi","Acrotriche serrulata",3,NA,NA,3
"P. cinnamomi","Actinidia chinensis",20,NA,NA,20
"P. cinnamomi","Actinodium cunninghamii",2,NA,NA,2
"P. cinnamomi","Adenanthos barbiger",1,NA,NA,1
"P. cinnamomi","Adenanthos obovatus",2,NA,NA,2
"P. ramorum","Adiantum aleuticum",5,NA,NA,5
"P. ramorum","Adiantum jordanii",4,NA,NA,4
"P. ramorum","Aesculus californica",4,NA,NA,4
"P. pseudosyringae","Aesculus hippocastanum",4,NA,1,3
"P. cinnamomi","Agathis australis",18,NA,NA,18
"P. cinnamomi","Agathosma betulina",4,NA,NA,4
"P. cinnamomi","Agathosma crenulata",4,NA,NA,4
"P. cinnamomi","Agonis flexuosa",4,NA,NA,4
"P. cinnamomi","Agonis theiformis",2,NA,NA,2
"P. cinnamomi","Vernicia fordii",4,NA,NA,4
"P. cinnamomi","Allium cepa",3,NA,NA,3
"P. cinnamomi","Allocasuarina fraseriana",7,NA,NA,7
"P. pseudosyringae","Alnus alnobetula",1,NA,NA,1
"P. alni","Alnus cordata",1,NA,NA,1
"P. cinnamomi","Alnus firma",2,NA,NA,2
"P. alni","Alnus glutinosa",408,2,352,54
"P. cinnamomi","Alnus glutinosa",2,NA,NA,2
"P. pseudosyringae","Alnus glutinosa",8,NA,NA,8
"P. alni","Alnus incana",11,NA,6,5
"P. pseudosyringae","Alnus rubra",1,NA,1,NA
